Fecha incidente;Elemento dañado;Perdida de producción [kWh];Duración [hr/días]
13-may-11; Capacitor              ; N/A     ; 7 días          
27-dic-11; Módulo fotovoltaico 1  ;60; 1 día           
17-may-13; Módulo fotovoltaico C2 ;1500; 150 días        
24-may-14; Aerogenerador          ;3; No fue reparado 
14 de agosto 2014 ; Modulo Fotovoltaico A1 ;1500; 150 días        
01-abr-15; Inversores de FV       ;240; 2 días          
23-feb-16; Conversor batería      ; N/A ; 22 días         
19-mar-16; Modulo Fotovoltaico C1 ;50; 5 días          
31-ene-18; Inversor de FV         ;9000; 75 días         
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
